userid,ab_group,purchaser,nrPurchases,nrPaidSwaps,nrGames
23743677291,0,0,0,0,0
25633757586,0,1,1,30,179
23969554835,0,0,0,0,0
25367792221,0,0,0,0,0
24249842270,0,0,0,0,26
23395555476,0,0,0,0,0
25586080061,0,0,0,0,0
23348477890,0,0,0,0,0
24201513147,0,0,0,0,0
24488888714,0,0,0,7,279
24451701899,0,0,0,0,0
25567897338,0,0,0,6,117
9228157184,0,0,0,0,0
25466164242,0,0,0,5,49
24919967096,0,0,0,0,0
24579437740,0,0,0,0,0
25604359171,0,0,0,0,0
25230449279,0,0,0,1,16
25584097515,0,0,0,0,0
7861247012,0,0,0,2,26
22646104499,0,0,0,0,0
21819742431,0,0,0,0,0
24105938994,0,0,0,0,0
25532197690,0,0,0,0,4
21702443139,0,0,0,0,0
24075568667,0,0,0,0,0
25452647390,0,0,0,0,0
25184821397,0,0,0,0,0
23883224916,0,0,0,5,13
25511443203,0,0,0,1,13
22796754651,0,0,0,0,0
22675103746,0,0,0,0,0
23750666021,0,0,0,0,0
25605888934,0,0,0,0,0
22007517498,0,0,0,0,0
14283068768,0,0,0,0,2
22611959792,0,0,0,0,6
25621647932,0,0,0,3,8
17567927805,0,0,0,0,0
24363017107,0,0,0,0,0
25402980903,0,1,1,2,77
25182338993,0,0,0,0,0
24932867342,0,0,0,1,35
24280867801,0,0,0,12,97
25010762587,0,0,0,2,19
23799037674,0,0,0,0,0
25047457930,0,0,0,3,78
22095868415,0,0,0,0,0
22959137121,0,0,0,0,1
25516889744,0,0,0,3,18
15578107678,0,0,0,0,0
23956706206,0,0,0,0,0
21535231641,0,0,0,0,0
25158749617,0,0,0,1,9
24886946255,0,0,0,0,0
23712646385,0,0,0,0,0
23844913100,0,0,0,0,4
24655597859,0,0,0,0,0
23551366097,0,0,0,0,0
25515787858,0,0,0,0,0
24755581596,0,0,0,0,0
25124730500,0,0,0,0,16
25345779637,0,0,0,8,12
25413999140,0,0,0,0,0
23898278308,0,0,0,0,0
25599327821,0,0,0,0,0
6385357371,0,0,0,0,0
23160714440,0,0,0,0,0
25634549305,0,0,0,0,0
24950548794,0,0,0,0,0
23748362545,0,0,0,0,0
25483739156,0,0,0,4,73
25239518830,0,0,0,0,0
22207807721,0,0,0,3,21
25510059512,0,0,0,0,0
22109492573,0,0,0,0,0
23103883774,0,0,0,0,0
24988217411,0,0,0,0,3
25165444697,0,0,0,0,0
22220536311,0,1,1,23,39
25423461145,0,0,0,0,0
24578309280,0,0,0,0,0
22914285838,0,0,0,0,0
21050090998,0,0,0,0,0
